gene_id	psi
b1820	1.00908
b1822	1.21322
b1823	0.372844
b1829	1.51693
b1830	1.22477
b1832	0.731284
b1839	1.48344
b1842	1.43619
b1852	1.51944
b1853	1.12184
b1854	1.44101
b1855	1.46411
b1856	1.17632
b1858	1.0759
b1860	1.46784
b1861	1.25034
b1863	1.4437
b1864	1.48319
b1865	1.09274
b1866	1.63843
b1869	1.36999
b1870	1.43619
b1871	1.55838
b1875	1.15023
b1876	1.41441
b1905	1.4036
b1912	1.1612
b1913	1.33349
b1914	1.37398
b1918	0.951058
b2007	1.22921
b2011	1.15283
b2016	1.36551
b2019	1.54222
b2020	0.783355
b2022	1.25412
b2023	0.973301
b2024	1.2028
b2025	1.24997
b2026	1.20593
b2029	1.02336
b2064	0.91248
b2065	1.39901
b2066	1.31108
b2113	1.49126
b2114	1.51067
b2143	1.20164
b2144	1.39026
b2151	0.890026
b2152	0.995842
b2153	1.24729
b2156	1.54813
b2168	1.55531
b2174	1.21783
b2175	1.23488
b2181	1.06955
b2183	1.37999
b2184	1.15655
b2185	1.39567
b2186	1.32601
b2188	1.15246
b2214	1.09959
b2216	0.976835
b2217	1.42125
b2218	1.11305
b2231	1.44681
b2232	1.20139
b2234	1.49056
b2235	2.16393
b2253	1.17646
b2254	1.23154
b2255	1.18458
b2256	1.22998
b2257	1.06158
b2276	1.31553
b2277	1.52591
b2278	1.53577
b2279	1.73195
b2280	1.08129
b2281	1.59742
b2282	1.52353
b2283	1.37914
b2284	1.69197
b2285	1.00906
b2286	1.55193
b2287	1.18201
b2288	0.829522
b2290	1.45717
b2295	1.40085
b2296	1.56779
b2297	1.54956
b2299	1.42751
b2302	1.11438
b2304	1.00747
b2311	1.06898
b2312	1.85023
b2313	0.852268
b2314	0.9404
b2315	1.05333
b2316	1.24016
b2317	1.33563
b2318	1.49066
b2319	1.5169
b2320	1.38439
b2323	1.09537
b2325	0.930208
b2329	1.58735
b2331	1.50151
b2340	0.926957
b2346	1.14001
b2393	1.46217
b2400	1.28854
b2410	1.39318
b2411	1.26068
b2412	1.28046
b2413	1.24492
b2414	1.16357
b2415	0.860007
b2417	1.50266
b2421	1.62531
b2422	1.14886
b2424	1.08879
b2425	1.42196
b2470	1.19995
b2471	1.05535
b2472	1.18791
b2474	1.08441
b2476	1.473
b2477	0.934956
b2478	1.69127
b2480	1.30913
b2494	1.13496
b2496	1.03795
b2498	1.37673
b2499	1.2539
b2501	1.30374
b2502	1.44251
b2507	1.44422
b2508	1.21195
b2509	1.30626
b2511	1.29808
b2512	1.45527
b2513	0.937228
b2514	1.41519
b2515	1.6012
b2516	0.979537
b2517	1.32208
b2518	0.985705
b2523	1.08954
b2530	1.63205
b2531	1.23558
b2532	1.38087
b2533	0.970081
b2551	1.68959
b2553	1.20959
b2554	1.70234
b2557	1.38931
b2558	1.00204
b2559	1.43738
b2562	1.72615
b2563	0.777719
b2564	1.19424
b2565	1.34241
b2566	1.37174
b2567	1.57394
b2568	1.34342
b2569	1.57829
b2571	1.33306
b2572	1.12263
b2573	1.48428
b2576	1.35941
b2580	1.03139
b2581	1.01471
b2584	1.08096
b2585	1.05065
b2592	1.51449
b2594	0.97272
b2595	0.966667
b2597	1.51232
b2599	1.22385
b2600	1.12642
b2601	1.34995
b2606	1.41361
b2607	1.30127
b2608	1.56999
b2609	1.27468
b2610	1.47304
b2611	1.35707
b2614	1.25409
b2615	1.05121
b2616	1.41154
b2618	1.32725
b2619	1.61174
b2620	1.115
b2678	1.13697
b2684	1.03354
b2687	1.1916
b2688	1.27214
b2697	1.31693
b2699	1.16932
b2733	1.54586
b2742	1.22964
b2743	0.922012
b2744	1.11496
b2746	1.39896
b2747	0.928505
b2748	1.82298
b2750	1.45579
b2751	1.36861
b2752	1.32376
b2762	1.68288
b2763	1.72269
b2764	1.27959
b2765	1.17545
b2777	0.978259
b2779	1.09706
b2780	1.49749
b2781	1.2752
b2784	1.44245
b2785	1.17694
b2786	1.26303
b2790	1.52356
b2794	1.58596
b2795	1.31492
b2796	1.2135
b2798	1.04382
b2805	1.68456
b2806	1.33797
b2807	1.02304
b2808	1.41651
b2810	0.911674
b2811	0.902527
b2812	1.3486
b2817	1.18303
b2819	1.12659
b2820	1.05377
b2821	1.15069
b2822	1.25573
b2827	1.90953
b2828	1.40098
b2829	1.44594
b2830	1.11073
b2831	1.29974
b2838	1.33306
b2890	1.84015
b2892	1.18577
b2893	0.986011
b2894	1.24951
b2895	1.23676
b2896	0.586258
b2897	1.42842
b2898	1.03277
b2903	1.51778
b2904	0.997192
b2905	1.36449
b2906	1.25717
b2907	0.943625
b2908	1.48394
b2909	1.40159
b2910	0.878586
b2912	0.995617
b2913	1.49094
b2914	1.03367
b2916	1.51743
b2922	0.974008
b2924	0.872642
b2925	1.41022
b2926	1.55853
b2935	1.31851
b2937	1.16883
b2938	1.53768
b2942	1.69081
b2944	0.950433
b2946	0.988615
b2948	0.934377
b2949	1.28667
b2951	1.39187
b2952	1.09999
b2954	1.59346
b2955	1.44139
b2958	1.2492
b2960	1.60366
b2961	0.93198
b2962	1.23167
b2963	1.22507
b3005	1.06065
b3006	1.17031
b3008	1.23181
b3012	1.17557
b3017	1.39505
b3018	1.40534
b3019	1.38795
b3030	1.73755
b3031	0.975395
b3032	1.23578
b3034	1.38232
b3035	1.18694
b3037	1.24112
b3038	1.46835
b3041	1.232
b3042	1.36486
b3052	1.46438
b3053	1.2881
b3055	1.29937
b3056	1.31414
b3058	0.873191
b3059	0.914745
b3064	1.24922
b3065	29.617
b3066	1.32765
b3067	1.262
b3088	1.03029
b3095	1.16615
b3114	1.62126
b3146	1.35248
b3147	0.978512
b3149	1.11465
b3150	0.963299
b3154	0.865769
b3155	1.29341
b3156	1.26961
b3162	1.69814
b3163	0.788662
b3164	1.36415
b3165	1.24373
b3166	1.75635
b3167	1.99438
b3168	1.18794
b3169	1.48495
b3170	1.2292
b3175	1.98249
b3176	1.24881
b3177	1.38092
b3178	1.42128
b3179	0.922831
b3180	1.12447
b3181	1.21625
b3183	1.77684
b3185	2.65024
b3186	1.29869
b3187	1.29692
b3188	1.07667
b3189	1.47539
b3190	0.831376
b3192	1.40919
b3193	0.922849
b3194	1.09901
b3195	1.04122
b3197	1.02984
b3198	1.01974
b3199	1.34274
b3200	0.974126
b3201	1.15089
b3202	1.09979
b3204	1.23388
b3205	1.99198
b3206	1.41085
b3209	1.10329
b3210	1.23229
b3228	1.10692
b3229	1.43987
b3230	1.16005
b3231	0.836145
b3232	1.3896
b3233	0.91439
b3235	0.897464
b3237	0.87497
b3244	1.31037
b3247	1.05456
b3249	0.807873
b3250	1.11766
b3251	1.54447
b3255	1.11366
b3256	0.984652
b3259	1.47706
b3261	2.05825
b3281	1.24683
b3282	1.04708
b3287	1.42786
b3288	1.22489
b3289	1.13037
b3290	1.08265
b3294	1.11376
b3295	0.856901
b3296	0.980957
b3298	0.935923
b3300	1.06209
b3301	1.1283
b3302	3.18368
b3303	1.893
b3304	0.751702
b3305	0.755428
b3306	0.539248
b3307	0.857828
b3308	0.608979
b3309	1.05154
b3313	0.556907
b3314	1.04493
b3315	1.10473
b3316	1.7993
b3317	1.46358
b3318	1.18215
b3319	1.19574
b3321	0.538896
b3340	1.14211
b3341	1.09566
b3342	1.28657
b3344	0.784364
b3345	1.41637
b3346	1.17276
b3347	1.10653
b3349	0.755003
b3352	1.33305
b3354	1.27174
b3356	1.35384
b3357	1.6699
b3360	1.03604
b3363	1.0078
b3368	1.31725
b3384	1.3033
b3386	1.44361
b3387	0.92785
b3388	1.05918
b3389	1.03465
b3396	1.07923
b3397	1.33238
b3398	1.11226
b3400	1.34977
b3401	1.33983
b3403	1.63034
b3404	1.01332
b3405	1.60375
b3406	1.37497
b3407	1.21196
b3412	0.977038
b3414	1.24583
b3423	1.2651
b3424	1.07424
b3425	0.957627
b3426	1.29494
b3433	1.47871
b3437	1.1866
b3438	1.16733
b3439	1.63829
b3458	1.304
b3461	1.47027
b3462	1.0453
b3463	1.46987
b3464	1.35742
b3465	1.16775
b3466	1.44086
b3469	0.986039
b3470	1.82415
b3471	1.05667
b3493	1.03208
b3495	1.66322
b3498	1.36539
b3499	1.61014
b3500	1.29911
b3540	1.46121
b3541	1.30332
b3542	1.27323
b3543	1.47238
b3549	1.52141
b3559	1.55998
b3560	1.7037
b3606	1.01214
b3607	1.02851
b3608	1.19669
b3609	1.60597
b3611	1.14797
b3613	1.04718
b3614	1.16173
b3619	1.30827
b3620	1.2941
b3621	1.03665
b3632	1.21949
b3633	1.15014
b3634	1.04675
b3635	1.68887
b3636	1.83022
b3637	0.37466
b3639	0.941112
b3640	0.965101
b3641	1.25973
b3642	1.19486
b3643	1.3229
b3644	1.4578
b3648	1.48195
b3649	1.51346
b3650	1.35145
b3652	1.51671
b3671	1.08793
b3699	1.51847
b3700	1.17735
b3701	1.85175
b3702	1.33706
b3704	1.69893
b3705	1.31894
b3706	1.23354
b3725	1.17451
b3727	1.28267
b3728	1.10783
b3729	1.49866
b3730	1.05935
b3731	0.925552
b3732	1.67439
b3733	0.979004
b3734	1.59002
b3735	1.22255
b3736	0.662961
b3740	1.45983
b3741	1.247
b3742	1.34694
b3743	1.16581
b3750	0.954954
b3764	0.785835
b3769	0.961589
b3770	1.43345
b3771	1.46567
b3772	1.34356
b3773	1.14346
b3774	1.59774
b3778	1.24762
b3779	1.13359
b3780	1.06375
b3781	1.08377
b3783	2.21892
b3784	0.93974
b3785	1.14904
b3786	1.3643
b3787	1.32578
b3790	1.10103
b3791	1.38033
b3792	1.0931
b3793	1.2981
b3794	1.18446
b3803	1.1735
b3804	1.02136
b3805	1.28152
b3806	1.26494
b3809	1.26694
b3810	1.1437
b3811	1.25057
b3812	1.10534
b3813	1.48617
b3816	1.73982
b3819	1.36691
b3820	0.758707
b3822	1.35711
b3829	1.44858
b3831	1.40395
b3832	1.3648
b3833	1.12919
b3834	1.00137
b3835	1.53617
b3839	1.31757
b3842	1.06863
b3843	1.27655
b3844	0.80991
b3847	1.25264
b3848	1.23963
b3849	1.2219
b3850	1.17918
b3856	0.816375
b3859	1.16296
b3860	1.23418
b3863	1.40184
b3865	1.27993
b3868	1.29996
b3869	1.24134
b3870	1.50913
b3871	1.73246
b3885	1.19897
b3887	1.1774
b3908	1.18481
b3911	1.32056
b3912	1.62265
b3916	1.19916
b3917	1.51944
b3919	1.25089
b3920	1.05147
b3924	1.0677
b3926	1.09607
b3927	0.781585
b3928	1.75147
b3929	1.08451
b3931	1.43026
b3932	1.52249
b3933	1.14986
b3935	1.17973
b3936	1.47832
b3938	1.21301
b3939	1.58005
b3941	1.02262
b3957	1.32776
b3959	1.60898
b3960	1.28425
b3961	1.32894
b3962	1.10071
b3963	1.52423
b3964	1.57577
b3965	1.16203
b3967	1.38847
b3972	1.34224
b3973	1.10792
b3974	0.998672
b3981	1.17006
b3982	2.16776
b3983	1.2128
b3984	1.15757
b3985	1.09341
b3986	0.758013
b3987	1.72867
b3988	1.8935
b3990	1.07292
b3997	1.83004
b3998	1.16975
b3999	1.6142
b4000	0.726457
b4005	1.14364
b4006	1.19285
b4013	1.32671
b4024	1.27635
b4025	1.4747
b4040	1.1174
b4041	1.4011
b4043	1.82505
b4046	1.31634
b4049	1.3334
b4052	1.1309
b4054	1.06166
b4058	1.40817
b4059	1.04673
b4065	1.40337
b4135	0.910265
b4136	1.05311
b4139	1.51408
b4142	0.86955
b4143	0.881473
b4144	1.22813
b4146	1.31806
b4147	1.48504
b4151	1.60524
b4155	1.41603
b4159	1.02971
b4160	1.4668
b4161	1.20362
b4162	1.24118
b4168	1.01651
b4169	1.05852
b4170	1.11819
b4171	0.797558
b4172	0.965705
b4173	1.3823
b4174	1.2762
b4175	1.46178
b4177	1.35775
b4179	1.38781
b4180	1.90687
b4200	0.966556
b4202	0.755125
b4203	0.694155
b4214	0.979185
b4217	0.88023
b4220	1.04959
b4221	1.14702
b4222	0.98477
b4226	1.98942
b4232	1.5228
b4233	1.02467
b4234	1.70175
b4243	0.674511
b4244	1.07643
b4245	1.19942
b4255	1.17805
b4258	1.32271
b4259	0.897299
b4260	1.73437
b4261	1.04072
b4262	0.85808
b4371	1.22663
b4372	1.00926
b4373	0.955648
b4375	1.5449
b4381	0.968419
b4383	1.39348
b4387	1.23825
b4388	1.04831
b4389	1.23157
b4391	1.79259
b4393	1.1826
b4396	1.33573
b4401	1.73395
